Effective date ,Dow Jones Commodity Index Lean Hogs
8/18/2016,139.94
8/19/2016,142.77
8/22/2016,140.98
8/23/2016,139.54
8/24/2016,139.08
8/25/2016,135.33
8/26/2016,141.38
8/29/2016,141.5
8/30/2016,143.05
8/31/2016,144.9
9/1/2016,145.99
9/2/2016,140.06
9/6/2016,135.85
9/7/2016,140.35
9/8/2016,138.09
9/9/2016,131.65
9/12/2016,128.15
9/13/2016,119.4
9/14/2016,113.2
9/15/2016,114.01
9/16/2016,115.16
9/19/2016,111.07
9/20/2016,113.14
9/21/2016,111.24
9/22/2016,112.05
9/23/2016,112.74
9/26/2016,112.05
9/27/2016,107.09
9/28/2016,107.67
9/29/2016,108.3
9/30/2016,101.38
10/3/2016,101.84
10/4/2016,100.29
10/5/2016,95.56
10/6/2016,99.54
10/7/2016,98.21
10/10/2016,97.69
10/11/2016,98.62
10/12/2016,101.56
10/13/2016,101.84
10/14/2016,97.35
10/17/2016,95.91
10/18/2016,94.81
10/19/2016,94.93
10/20/2016,94.76
10/21/2016,96.48
10/24/2016,99.6
10/25/2016,102.88
10/26/2016,101.9
10/27/2016,104.61
10/28/2016,107.9
10/31/2016,110.55
11/1/2016,107.09
11/2/2016,110.26
11/3/2016,108.36
11/4/2016,106.4
11/7/2016,111.76
11/8/2016,115.24
11/9/2016,117.73
11/10/2016,122.5
11/11/2016,125.3
11/14/2016,123.57
11/15/2016,121.96
11/16/2016,125.71
11/17/2016,125.01
11/18/2016,124.9
11/21/2016,129.97
11/22/2016,128.07
11/23/2016,128.07
11/25/2016,130.84
11/28/2016,128.7
11/29/2016,126.11
11/30/2016,127.32
12/1/2016,124.67
12/2/2016,124.55
12/5/2016,126.34
12/6/2016,132.51
12/7/2016,137.75
12/8/2016,140.23
12/9/2016,141.9
12/12/2016,143.34
12/13/2016,142.36
12/14/2016,142.42
12/15/2016,143.86
12/16/2016,149.16
12/19/2016,152.39
12/20/2016,147.55
12/21/2016,149.63
12/22/2016,149.22
12/23/2016,145.71
12/27/2016,149.28
12/28/2016,150.09
12/29/2016,149.05
12/30/2016,152.51
1/3/2017,146.4
1/4/2017,148.93
1/5/2017,149.57
1/6/2017,147.49
1/9/2017,149.11
1/10/2017,153.91
1/11/2017,156.63
1/12/2017,158.69
1/13/2017,160.52
1/17/2017,160.75
1/18/2017,158.67
